"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R2ALUJU9NS0K5F",5,0,0,"N","Y"
"R1L267LIY95CPB",5,10,11,"N","N"
"R2ZH0JLHNFWBTB",5,1,1,"N","Y"
"RE0RJ07DUSF7P",5,0,0,"N","Y"
"R1LBLHMQ7YO8ZF",5,0,0,"N","Y"
"R2P90XIFO7G97B",5,0,0,"N","N"
"RJM45NORR02B3",1,2,2,"N","Y"
"R17KI3WVADT11G",5,0,0,"N","Y"
"R2NWJ89IHQXYNB",5,1,1,"N","Y"
"R11ZH23XAMY3NV",3,0,0,"N","Y"
"RIGIBPT6QKJOK",4,0,0,"N","N"
"R1BFDCGZCSKP77",2,1,1,"N","Y"
"R2FAZ7BPSFPVQ6",5,0,0,"N","N"
"R2GG2DBDURJPQQ",5,1,2,"N","Y"
"RGI8LKA9DP0TI",5,0,1,"N","N"
"R1AT6NDI18FDNE",5,0,0,"N","Y"
"R23CYWP6KLTLZ2",4,0,0,"N","Y"
"R3CJIGCSXSOEEV",5,0,1,"N","Y"
"R34HO82HBELPAX",5,0,0,"N","Y"
"R705ORRRCUFCF",2,0,1,"N","Y"
"RV3TIJGJ48ZHY",5,0,0,"N","Y"
"R35I4PG28TUEVC",5,0,0,"N","Y"
"R2ODTE7JOX1V1T",5,0,0,"N","Y"
"RGDPPBG40NXBU",3,0,0,"N","Y"
"R2MH1RLTTPKQ2W",4,0,0,"N","Y"
"R3SX53LMDKGFEQ",5,0,0,"N","Y"
"R2XQIKIDV9FMY7",5,2,3,"N","Y"
"R2YZ7T62H04KSD",1,0,1,"N","Y"
"RRILDINUPXKQD",5,1,1,"N","Y"
"R2A8HL6ZUTRE6O",3,0,0,"N","Y"
"R2REC2VL6TZIUA",5,0,0,"N","Y"
"R1CN3R2FIY3TUW",3,0,0,"N","Y"
"R2T1PUVLKXUI0X",5,2,2,"N","N"
"R3MWLXKUVCUYP9",2,0,1,"N","Y"
"RY5I712LEZ0UW",5,0,0,"N","Y"
"ROVV2APQC4BGR",4,0,0,"N","Y"
"R3QP5PXXXKJ070",4,0,0,"N","Y"
"R2V5K8W3IB15EM",3,0,0,"N","Y"
"R3AD6RW8Z4ROIO",5,0,0,"N","N"
"RRU0RIC54Y1M7",5,1,1,"N","Y"
"R26953OH2PL8F3",1,0,0,"N","Y"
"RZ4R8VY55W5QI",3,0,0,"N","Y"
"R3SAE050NF9X8J",5,0,0,"N","N"
"R2QDLDU5MY37GG",1,0,0,"N","N"
"R3JE3JGCM2IIPC",5,0,0,"N","Y"
"R16RHGTQLDFZDC",5,1,1,"N","Y"
"R2FZPUPB25LR3X",5,2,2,"N","Y"
"R2FY3B8NUBFI7I",5,0,0,"N","Y"
"R111I4QN25F3UE",5,0,0,"N","Y"
"R3GWL5VPNZQOMZ",3,4,8,"N","N"
"RDNKLNPS1UOJ6",4,1,1,"N","N"
"R32F9LEUTHW604",4,0,0,"N","Y"
"R2GWG2T8G1C0YV",4,0,0,"N","N"
"R1R64C7FKQ4LPZ",5,0,0,"N","N"
"RB5DLSCV3HT1Z",5,1,1,"N","Y"
"R1EUH1P935I85",5,0,0,"N","Y"
"R26TEU2AGO8OUS",4,0,0,"N","Y"
"R3VRJLOZRT91V8",3,0,8,"N","Y"
"R1KOTEXZ7KWFIM",5,0,0,"N","N"
"R13S4H3HCQBP2T",4,0,0,"N","Y"
"RLSZUQX8UDPYO",5,0,0,"N","Y"
"R1YHQXM0BFE0M3",1,0,0,"N","Y"
"R29YP49NJHXI39",5,0,0,"N","Y"
"R28VS2AHJBL4M",5,0,0,"N","Y"
"R2H8OOG9GQ3O3W",5,2,2,"N","Y"
"R35UC9LHDAICCM",5,1,1,"N","Y"
"R1TQ210ZMF760N",5,0,0,"N","Y"
"R1AAKF72C9DWTV",4,5,5,"N","N"
"RRO1QFIRD5SN7",5,0,0,"N","Y"
"R37MZT120QW64S",5,0,0,"N","Y"
"R3LWYSDRJMGLAM",3,0,0,"N","Y"
"R1M6FI5FZ9RTCX",5,0,0,"N","Y"
"RJ54ZMOMN1LH6",5,1,1,"N","N"
"R2X29HXGKZDVSM",5,0,1,"N","Y"
"R1SE7ZO798A8BB",5,1,1,"N","Y"
"R239LTXIASICX",5,0,0,"N","Y"
"RSNEM1T5RCXC6",5,0,0,"N","Y"
"R3APQ60YCVHH2P",4,0,0,"N","Y"
"R1UBZKM90DVJ8R",5,0,0,"N","Y"
"R28DTNU337AGXR",3,1,1,"N","N"
"RQEOR2DR3AN6N",1,0,0,"N","Y"
"R2XLSG1IX9DG1T",5,1,1,"N","Y"
"R2VQ1QW7K6CFMO",1,0,0,"N","Y"
"RLLRD4ZP5CRV0",1,1,1,"N","Y"
"R9B9A08S6SUPV",5,1,1,"N","Y"
"R23C4H9NMI65BU",5,0,0,"N","Y"
"R2FLEJDTBS4YQZ",5,0,0,"N","N"
"R3P2IB8AGD8FIK",4,0,1,"N","N"
"R2BUV6LP81OCA5",5,0,0,"N","Y"
"R3U5T7YVYI2GD2",5,0,0,"N","Y"
"R1WE15SNKJEW8F",1,0,0,"N","Y"
"R3VQPXTVIBAIAO",5,1,1,"N","N"
"R11PIE7TCTA7G",1,0,0,"N","N"
"R1S1AIESJGXKWP",5,0,0,"N","Y"
"R17S1S3YRQP1TI",5,0,0,"N","Y"
"R30QUTGV7EY72L",1,1,2,"N","N"
"R1CTO2ZMCTMQGA",5,0,1,"N","Y"
"R23Q19NNE2GSER",3,4,5,"N","N"
"R3OZSAQUKB1CO0",2,0,0,"N","Y"
"R1V4H3OARDL595",4,0,0,"N","Y"
"R6PZDCS3CUPYY",5,0,0,"N","Y"
"R1BVM6LZ8KVT1W",4,0,0,"N","Y"
"R1Q5KFMU2IOJI4",5,1,1,"N","Y"
"R311VH1WOFDJ4B",5,0,0,"N","Y"
"R33YWFVWM845MN",5,0,2,"N","Y"
"R255CS09P0TY5F",4,0,0,"N","Y"
"R1VNJR020FV974",4,0,0,"N","Y"
"R2NUWSYOFZG7Z",5,1,2,"N","Y"
"R2AE49W92UXWF4",5,0,0,"N","Y"
"R3HJMXCXEA34H",5,0,0,"N","Y"
"R3M33RXFZ1G153",3,0,1,"N","N"
"R1X7EUOF9Z7HBW",5,0,0,"N","Y"
"R667ZIKJDLM8Z",5,1,1,"N","Y"
"R1YJD5ZK1CTUDW",5,0,0,"N","Y"
"R2G9PLAXJ84Z2F",4,0,0,"N","Y"
"R2LHD4BIVUHGRB",4,0,0,"N","Y"
"R7K3OAP558GYR",2,0,4,"N","Y"
"RC43M32IMO64N",4,0,0,"N","Y"
"R3PDCQJRY5K032",4,0,0,"N","N"
"RH6L2HUAHLCHM",4,0,0,"N","N"
"R1Q8FUT735PCX",4,10,15,"N","N"
"R1KZV9EGO354B0",5,0,0,"N","Y"
"RMEHD7STUCBDJ",5,0,0,"N","N"
"R2VMNXZVRXRGO",5,0,0,"N","Y"
"RGNA3R61BBKZH",5,0,0,"N","Y"
"R2VT9P2BM3EJQV",3,0,0,"N","Y"
"R2PGHPUN77N0MW",4,2,2,"N","N"
"R3IKYGAFR9FAEW",3,0,1,"N","Y"
"REG89KRDO5NUZ",5,2,3,"N","Y"
"R1WHSZZKLD2UNS",4,1,1,"N","N"
"RXM6W503U7HI2",5,0,0,"N","Y"
"R22AUQS2BU1P6V",5,0,4,"N","Y"
"RGNFEATZW7B53",5,0,0,"N","Y"
"RBP2FAP2VYWGW",4,0,0,"N","Y"
"R3DNIJXPCP6KX5",4,1,1,"N","Y"
"R2NSSYTB414TXO",5,0,0,"N","Y"
"R29RFSA2YJCOZK",2,0,0,"N","Y"
"R23BY7W4729GED",1,0,0,"N","N"
"R3J4RMD4JL0NPD",5,0,0,"N","Y"
"R3ME2HUBLL7CYN",5,2,3,"N","Y"
"R3A5O1CK88WXXZ",5,3,5,"N","N"
"R3V8241SK9XLA9",5,0,0,"N","Y"
"R3CKQYNPUTEHP7",2,2,3,"N","Y"
"RFJENMOKYU0D2",5,0,0,"N","Y"
"R8OJAVREACKPV",4,0,0,"N","Y"
"R3DQ86HPOUN2XC",1,0,1,"N","Y"
"R2905Z65FCOJP7",5,10,10,"N","Y"
"RWNUITWB89M40",5,0,0,"N","Y"
"R1QPQB3UDEUHD7",5,0,0,"N","Y"
"R8MV7GB87TCEP",2,0,0,"N","Y"
"R2XRVRDRYWEX5Y",5,0,0,"N","Y"
"RZD5CSTOLJJU3",4,0,0,"N","Y"
"R3DD4OIO8NK3W6",5,0,0,"N","Y"
"R2958MCEY8QLKP",5,0,0,"N","N"
"RAYW9RKFEYO8C",5,0,0,"N","Y"
"RYWXXW2RGD3LU",4,0,0,"N","Y"
"R1C68YQO1ESN97",4,0,0,"N","N"
"R3FU0OIN64Q7Z0",4,1,1,"N","Y"
"R2MEAJJX09B5ZX",4,1,1,"N","Y"
"R29EAYCN0BC0UF",3,1,1,"N","Y"
"R14FXISQFSWOU2",5,0,0,"N","Y"
"R31UPK0F75KNDI",5,0,0,"N","Y"
"R2XONIHPQ31MPW",5,0,0,"N","Y"
"RDV4FVWAY0C5Z",5,0,0,"N","Y"
"R12VTYSP7AXH2D",1,0,1,"N","Y"
"R1YRY4ISJ2K1YI",4,0,0,"N","N"
"R2MDUKZF6998XU",3,0,1,"N","Y"
"R1ZSCC8SO9W0AE",5,0,0,"N","Y"
"R2V848RGT9IQLA",4,0,1,"N","Y"
"R28H01CS2PU76J",5,1,1,"N","Y"
"R36CLNFZVBH97C",5,0,0,"N","N"
"R34SQ1C1IK5V5B",5,0,0,"N","Y"
"R19OWLW51FPWTA",4,0,0,"N","N"
"R200U4Q2T45MF0",5,0,0,"N","N"
"R129GAK9MGO26G",5,0,0,"N","Y"
"RME2F26KUQP77",4,0,0,"N","Y"
"R3ZL2VXV4DIIQ",5,0,3,"N","Y"
"R2NEZ1RLA6HSJO",5,0,0,"N","Y"
"RLURJ256Z51VM",4,1,1,"N","N"
"R1DXMJEVIEE54N",4,0,0,"Y","N"
"R1QU4T0TB5TYS",5,0,0,"N","Y"
"R1AER52T2URZ0K",4,0,0,"N","Y"
"R2BCG4DRI69ZTF",4,1,1,"N","Y"
"R2I9V5KTVS9RVD",5,0,0,"N","Y"
"R3GGBWWB5O5PD8",1,0,0,"N","N"
"RIANHAQXLQ44T",5,0,0,"N","Y"
"RV6KNRI9EEB2C",5,1,1,"N","N"
"R2SEPT3PM33O9G",1,2,7,"N","Y"
"R24Q6404B1NODK",5,0,0,"N","Y"
"R2WQXRWTUOI8Q1",5,3,3,"N","Y"
"RYZAH37C14GIH",4,0,0,"N","N"
"R79JYWICYYC4K",4,0,0,"N","N"
"R15EWO4KNO0LB3",1,1,3,"N","N"
"R3JH1BXPMBAAOD",2,0,2,"N","Y"
"RPWO2VU4S9KBY",5,0,0,"N","Y"
"R19BH8PGESDFRN",5,0,0,"N","Y"
"R1JZJQ7QX58045",5,4,4,"N","N"
"RMPPKPZN3TG5Z",1,0,6,"N","N"
"RFBN2M7Z9ZJQ3",5,0,0,"N","Y"
"R14RZ22IBCJZQB",4,2,2,"N","N"
"R3MM2VYK203TMG",5,0,0,"N","Y"
"R3GEZ49PBS1P4L",5,1,1,"N","Y"
"R2N59OSAB9BHDZ",4,0,0,"N","Y"
"R2EABZK5SO172B",5,0,0,"N","Y"
"R2JNX4UZE1J02T",5,1,1,"N","Y"
"R30M8A5LD0NQ50",5,1,1,"N","Y"
"R3ULNNM2EBZ4U5",3,1,1,"N","Y"
"R2EFYVQEL4TY8R",4,0,0,"N","Y"
"R2AFMIHGKDZ3M7",5,0,0,"N","Y"
"R1X0PY3NQ7GEK5",4,0,0,"N","Y"
"R1MDGBO5IVKQCW",5,0,0,"N","Y"
"R2NFAWJ8E9GRX9",5,0,0,"N","Y"
"R3FULXI2MUJ4Y5",5,0,0,"N","N"
"R1RR7NL1AW9Z2T",4,0,0,"N","Y"
"RPZHAM1T3RMDU",5,6,7,"N","Y"
"R2TGT0CDTCAAHW",5,21,23,"N","Y"
"R1D7XWOV7I3FF5",5,1,1,"N","Y"
"R3ERMAZT432U32",5,0,1,"N","Y"
"R3KMEEIVF3DBGV",5,0,0,"N","Y"
"RUHO9UZAHYO4D",5,0,0,"N","Y"
"R14HRAR84W5VG7",5,0,0,"N","Y"
"R2TVQEIWWJ27OK",5,0,0,"N","Y"
"R1LIHX0LSZGOLJ",5,0,0,"N","Y"
"ROPXJWU853QIA",4,0,0,"N","Y"
"R2PSXVRYG9WHVM",5,1,1,"N","Y"
"R12DGW3G8CPCCF",1,4,15,"N","Y"
"R1CU0086NBFOFG",5,0,0,"N","Y"
"R2QS6A17WBF2JB",2,1,1,"N","Y"
"R3D7OMEIIL6FWD",5,0,0,"N","Y"
"R30ZGSM4FYZSGL",5,0,0,"N","N"
"R122RLSWTKQH97",4,0,0,"N","Y"
"R2ELKO92Y1MJJA",1,0,1,"N","Y"
"R20GQR4M9GK3GR",4,0,0,"N","Y"
"R2JTPYI72EGLVI",4,0,0,"N","Y"
"R1S8RQGB98IKS1",5,0,0,"N","Y"
"RGQ3WF33UEV6R",5,0,0,"N","Y"
"R1XQFTRW726PAA",5,0,0,"N","Y"
"ROZI84H71S7T3",5,0,0,"N","Y"
"R2GPWHX1H6C0XP",5,0,0,"N","Y"
"RCNO66UU9FOP6",5,0,0,"N","Y"
"R2WDZPS4FXEYKW",5,6,6,"N","Y"
"RO35HRC5EPIV6",5,0,0,"N","Y"
"R2SSJI4VYO15TC",5,0,0,"N","Y"
"R315DJU9KAWFZG",4,1,1,"N","Y"
"R2Q50P8S8N8DFJ",5,0,0,"N","Y"
"RJAJML3BPHJW1",5,0,1,"N","Y"
"R1ZE0YASE14JL2",5,0,0,"N","Y"
"R1H3ZFTQT3TMEN",4,4,6,"N","Y"
"R3F7W8COW117TA",5,0,2,"N","Y"
"R2ADK7BJ2AGTC9",5,0,0,"N","Y"
"RHE4AR3LGRQ8C",5,0,0,"N","Y"
"R3MHXVOGX2ICJQ",4,0,0,"N","Y"
"R2G8WMCH00CMLN",5,0,0,"N","Y"
"R1AB3IMA2VTG8K",5,0,0,"N","Y"
"R24ZUYFKHN287O",5,0,0,"N","Y"
"R1HAE3A9EM8ZFV",5,0,0,"N","Y"
"R2WYOW5FJN2E4I",5,0,0,"N","N"
"R1B82PWGID1EA8",5,0,0,"N","Y"
"R1PIF0NT3H542J",5,0,0,"N","Y"
"R2QJG1A4V92P7C",5,0,0,"N","Y"
"R27MA9H8E10O2J",5,0,0,"N","Y"
"R380ISSILX5V1Q",5,0,2,"N","Y"
"REXYWHKEQHBSV",3,1,1,"N","Y"
"R3B9PY8CO0U86Q",5,6,8,"N","Y"
"R1S3QWX8QIR7R2",1,1,1,"N","Y"
"R1XOX4I61PSCOF",5,0,0,"N","Y"
"R1UJ04ZVS0KABQ",5,0,0,"N","Y"
"R3RXJYY9N9OQQ",5,1,1,"N","Y"
"R13F8EZAT7LPCL",5,0,0,"N","Y"
"R3ALZNJ4R4X2BA",5,0,0,"N","Y"
"R1L9JAYPMFOUZV",5,0,0,"N","Y"
"R2RI4IVLN3DJ46",5,1,1,"N","Y"
"R27Q0HXLDZBMDG",5,0,0,"N","Y"
"R20LNCBFBVWNWK",5,0,0,"N","Y"
"R2O0ERYLJ0227B",5,0,0,"N","Y"
"R2IBQORZNSPUCJ",5,0,0,"N","Y"
"R13NDAY0URHAI2",5,0,1,"N","Y"
"RUT7B85ZA1UTZ",5,8,9,"N","Y"
"R3821SYKONTDJY",1,1,1,"N","N"
"R2BC1N02P0CVMF",5,0,0,"N","Y"
"R3O95M5FSDMKE7",5,0,0,"N","Y"
"R14P8A3ZKNVRXB",5,0,0,"N","Y"
"R24A3M10PYC67Y",3,0,0,"N","Y"
"R3MW1Y3D2VNVJX",4,0,0,"N","Y"
"RCNZOZF1NJ19I",5,0,0,"N","Y"
"R3QI6ZBATY6ZDV",3,1,2,"N","Y"
"R136J60ITC2DU",5,4,4,"N","Y"
"R1DMPWVAXPG8RR",3,0,0,"N","Y"
"RCV38HM6QH8GJ",4,0,0,"N","Y"
"R86NVFLLR19NX",5,0,0,"N","N"
"R1GH5XUT12CN4Y",5,0,0,"N","Y"
"RL3LZO5PQ4S8I",5,0,0,"N","Y"
"R2EI26S8V7HWYO",5,0,0,"N","Y"
"R30U2OR2YUU8YN",5,0,0,"N","Y"
"R10GBOUSO62OP4",5,0,0,"N","Y"
"R2HNDF2MY1L0LW",5,0,0,"N","Y"
"R3M41J3PSKIPOS",3,1,2,"N","Y"
"R3BHHKZQ4RI1H4",5,0,0,"N","Y"
"R1AV9VDKN59W61",4,0,0,"N","Y"
"R2G7X774ZFFIT8",5,2,2,"N","N"
"RHF6A4ZOXF3J8",5,0,0,"N","Y"
"R3VILOUB2FYUBK",5,0,1,"N","Y"
"RLLFJB0TZCRYO",5,0,0,"N","Y"
"RBD56FW3VF4R4",5,0,0,"N","Y"
"RO6EY8T47CI1E",5,0,0,"N","Y"
"RXV0IN8PEKTX2",5,0,0,"N","Y"
"R2WU3SPWG9VLBP",1,1,1,"N","Y"
"R3GKCG91W8V78T",5,0,0,"N","Y"
"R2T8OKRCC3E160",5,0,0,"N","Y"
"R23F5RVD4XUN43",5,0,0,"N","Y"
"R25RFSGAQQRGPI",5,0,0,"N","Y"
"R2B8AURZ34VI3R",2,1,1,"N","N"
"RFY6HUUR3WXKG",5,0,0,"N","Y"
"RCRQOYFEWIHEM",4,0,0,"N","Y"
"R5B09N1UDJG8X",5,0,0,"N","Y"
"R1Z8J425HTLRRP",5,7,7,"N","Y"
"R24WB7XKTB5N27",5,0,0,"N","Y"
"RE8RBSUX72MKI",5,0,0,"N","N"
"R1T4ANFP3V4SR3",4,0,0,"N","Y"
"R22NXOY8MFTH0D",3,0,0,"N","Y"
"R3OTZK0CBITJVX",5,0,0,"N","Y"
"RL8024THZ8BDA",5,0,0,"N","Y"
"R1UTBZS1GX5PB0",5,0,0,"N","Y"
"R3SQLJ4PFRBJ7A",3,0,0,"N","Y"
"R2J210CUTQ6RN0",5,0,0,"N","Y"
"R3AHTOLFS541EP",5,0,0,"N","Y"
"R3G2ANL0MW6U6I",5,0,0,"N","Y"
"R2L46MHZDPIF4F",2,1,3,"N","Y"
"R2JAIMFMA8UPJR",4,0,0,"N","N"
"R24B5SIX8199ZC",5,0,0,"N","Y"
"R1YDF2JOVJBHAT",5,0,0,"N","Y"
"R2I62GX0HLI3PW",4,0,0,"N","Y"
"R2Y4JKH0Y2PUT3",4,0,0,"N","Y"
"R11YGLFW0EWNBX",4,0,0,"N","Y"
"RZCBT05PTCY0D",4,0,0,"N","Y"
"R2SLP7FJR2L0BJ",4,0,0,"N","Y"
"R1JYOOWWR5HKQM",5,0,0,"N","Y"
"RMN890PCQF9N4",5,0,0,"N","Y"
"R1N5MSFPHHNC23",5,2,4,"N","Y"
"R2SG3QLSLG4BL3",5,0,0,"N","Y"
"R26L455K21O2V8",4,0,0,"N","Y"
"R1P8HZW25TLBOL",1,12,14,"N","Y"
"R3ORCPWY3X4ORW",4,2,4,"N","Y"
"RUCZR37TG11UL",5,0,0,"N","Y"
"R1JKI0943KBXCT",5,0,0,"N","Y"
"R1CTUP5BMWV2WG",5,0,0,"N","Y"
"R3Q2QVGENMBVPE",5,0,0,"N","Y"
"RFX0QV11YTR4M",3,1,1,"N","N"
"R3HL3I0AYM498C",4,0,0,"N","Y"
"RRF40HT3UCHUA",3,0,3,"N","Y"
"R3414NJP6PFSAP",5,0,0,"N","N"
"R2I8PPGIB9DN8H",5,0,0,"N","Y"
"R3SV1ITITFAAJ",2,0,0,"N","Y"
"R1DYDXMP4JTCII",5,0,0,"N","Y"
"R2952DH11JU5HJ",5,0,0,"N","Y"
"RN41EC63BHKYR",2,0,0,"N","Y"
"R22K3MSLTOULHM",5,0,0,"N","Y"
"R3FT2U932RW7IT",5,1,1,"N","N"
"RNIZZEHHRFHZC",5,1,1,"N","Y"
"RVP3NRG5JTZR7",5,0,0,"N","Y"
"R1TMAKW61OJ0ZQ",5,2,3,"N","Y"
"R243PUY4SUFC5U",5,3,3,"N","Y"
"R25K9AKTHX6AM6",5,0,0,"N","Y"
"RWJIHEI2KS5R1",2,0,0,"N","Y"
"R13FVUXQ5XXK22",1,0,0,"N","Y"
"RF5BERBUZJPD8",3,0,0,"N","Y"
"R14AXWZ45MSWI1",5,0,0,"N","Y"
"R2HXNFNMCW6X6O",5,0,0,"N","Y"
"R5WN7YC41VLE3",2,0,0,"N","Y"
"RB4MG7O21C1TE",2,0,1,"N","Y"
"R3SQSZBNHXAEEL",4,0,0,"N","Y"
"R261XQ7C3GZANB",4,0,0,"N","Y"
"R1IDU0HE04KLS",5,0,0,"N","Y"
"R1AJC30AG4QHMB",4,0,0,"N","Y"
"RPJHKQ8W9D17D",5,0,0,"N","Y"
"R7DTS8AA3UOQW",5,0,0,"N","Y"
"ROYL4Y63PVMPI",5,1,1,"N","Y"
"R3Q9VLG7UR07TQ",5,0,0,"N","Y"
"R10W46MPYIZCU0",5,1,1,"N","Y"
"RRDHTEXSKISL9",5,0,0,"N","Y"
"R4IITKWQ5YNJA",5,1,1,"N","Y"
"R371FXLHM1ANV0",5,0,0,"N","N"
"R318JCXDSE1170",5,4,5,"N","Y"
"R20LIXOHA79HSC",5,0,0,"N","Y"
"R3SEFG3BP01UXT",1,0,0,"N","Y"
"R1UCDUFB50X4O2",5,0,0,"N","Y"
"R22A8KQ33DZJ06",5,2,2,"N","Y"
"R22Q0EV8ZHGKFR",5,0,0,"N","Y"
"R27CC90G8BW9B3",5,0,0,"N","Y"
"RENW3P4RGEL7U",5,1,1,"N","N"
"RPY0MI0BTLXH1",5,0,0,"N","Y"
"R1SPE7SHSN7YGZ",1,1,1,"N","Y"
"RN72H15NFQXAH",5,2,2,"N","Y"
"R1FZCOMH2YW0SZ",2,1,1,"N","Y"
"R1A7KCM5ZR4SF9",4,0,1,"N","Y"
"R3MMW58WWJ5ZK3",5,0,0,"N","Y"
"RCRKN2GJFD3ID",5,0,0,"Y","N"
"RJCZKPMN049YA",3,0,0,"N","Y"
"R1B81PEFE0GHA9",2,1,1,"N","Y"
"R1BSZ75Q8FQKIE",5,0,0,"N","Y"
"R3FA2XEV8XDY0X",1,2,2,"N","Y"
"R2XVMZX4AUXSLJ",5,0,0,"N","Y"
"R2SVCMEZ7PAO7E",1,0,0,"N","Y"
"R183N6SE2QPIWG",5,0,0,"N","Y"
"R10TQG93544MHV",5,0,0,"N","Y"
"R202O419OA52TJ",5,0,0,"N","N"
"R2OEYD2WB5QLTF",4,0,0,"N","Y"
"R2QUFDIR0ERDXU",5,0,0,"N","Y"
"R1JGJ4E9W00O0X",3,0,0,"N","Y"
"R1T01F8HE3KEGW",5,0,0,"N","Y"
"R1RTJ4EZPGI878",3,0,0,"N","Y"
"R3BNC3P5HNFCN2",5,0,0,"N","Y"
"R3HFGPZPGOW9GP",5,0,0,"N","Y"
"R29TWRL81U84PR",5,17,19,"N","Y"
"R2JP1UJNFS2M83",5,0,0,"N","Y"
"R20PDHSNUF7MU9",5,0,0,"N","Y"
"R5Q4AN2MA4EZZ",5,0,0,"N","Y"
"RIA7VGAZSI1GT",5,0,0,"N","Y"
"ROIO03VKGAL2L",5,0,0,"N","Y"
"R1FLK5HU3UYU2B",4,0,0,"N","Y"
"R1IVB6FXFEKM6X",4,0,0,"Y","N"
"R18N6C5R9ZG75H",2,0,0,"N","Y"
"R2141XAQ6WS7CX",5,0,1,"N","Y"
"R1SH6WX2MF5N32",5,0,0,"N","Y"
"R30EVJW0PPQX2X",5,0,0,"N","Y"
"RSD0ZLN8B62KB",1,1,2,"N","Y"
"R14COWCS3C1C9A",5,0,0,"N","Y"
"R1FO05A6V2GN6V",5,0,0,"N","Y"
"R1ZOH1W6T9ZCTU",5,0,0,"N","Y"
"R2MUM6XIXAB3SS",1,0,0,"N","N"
"RJC8C0JRUZRAJ",5,1,1,"N","Y"
"RXTWUZLXBYA3R",1,6,7,"N","Y"
"R24TXUH74L77U1",5,0,0,"N","Y"
"R14JR5814GUS3B",5,0,0,"N","Y"
"R2E1AJ11ZHZUH1",5,0,0,"N","Y"
"RUIUVWK23FBAC",5,0,0,"N","Y"
"RLJHPIW7QNKPJ",5,1,1,"N","Y"
"R1RQI2NUAWCQD6",5,0,0,"N","Y"
"R3OT85K82H2VGZ",5,0,0,"N","Y"
"R2GT7VJY0DB5W5",5,0,0,"N","Y"
"RHB48D8W297N4",3,0,0,"N","Y"
